192,"MARK
That is, if they're speaking this week. Me? I'm here. Nowhere",(Lights up on the scene),"JOANNE
The line is 'Cyber Arts and its corporate sponsor, Grey Communications,
would like to mitigate the Christmas Eve riots.' What is so difficult...?","MAUREEN
It just doesn't roll off my tongue. I like my version.!","COLLINS
It's a sham","JOANNE
You - dressed as a ground hog. To protest the ground breaking!",2
193,"MAUREEN
It's a METAPHOR!","JOANNE
Well, it's less than brilliant!","MAUREEN
That's it, Ms. Ivy League!","JOANNE
What?","MAUREEN
Ever since New Year's, I haven't said boo. I let you direct, I didn't pierce my
nipples because it grossed you out! I didn't sta and dance at the Clit Club that
night, 'cause you wanted to go home","COLLINS
My friends are waiting ",1
194,"JOANNE
You were flirting with the woman in rubber","MAUREEN
That's what this is about!? There will always be women in rubber, flirting with
me... Gimme a break
Every single day
I walk down the street
I hear people say,
""Baby's so sweet""
Ever since puberty
Everybody stares at me
Boys - girls
I can't can't help it baby
So be kind
Don't lose your mind
Just remember that I'm your baby
Take me for what I am
Who I was meant to be
And if you give a damn
Take me baby or leave me
Take me baby or leave me
A tiger in a cage
Can never see the sun
This diva needs her stage
Baby - let's have fun!
You are the one I choose
Folks'd kill to fill your shoes
You love the limelight too, baby
So be mine
Or don't waste my time
Cryin' -- ""Honeybear -- are you still my baby?""
Take me for what I am
Who I was meant to be
And if you give a damn
Take me baby or leave me
No way can I be what I'm not
But hey don't you want your girl hot!
Don't fight don't lose your head
Cause every night who's in your bed?
Who's in your bed, baby?",(Pouts in JOANNE's direction),"Kiss, Pookie",YOUR EYES ,"JOANNE
It won't work
I look before I leap
I love margins and discipline
I make lists in my sleep
Baby what's my sin?
Never quit I follow through
I hate mess but I love you
What to do
With my impromptu baby?
So be wise
This girl satisfies
You've got a prize
But don't compromise
You're one lucky baby
Take me for what I am",2
195,"MAUREEN
A control freak","JOANNE
Who I was meant to be","MAUREEN
A snob yet over-attentive","JOANNE
And if you give a damn","MAUREEN
A lovable, droll geek","(The COMPANY bursts into a flurry of movemen. Then everyone except
MARK and ROGER freezes in a group upstage)",1
196,"JOANNE
Take me baby or leave me","MAUREEN
And anal retentive","BOTH
That's it!","JOANNE
The straw that breaks my back","BENNY
Next door, the home of Cyberarts, you see
And now that the block is re-zoned
Our dream can become a reality
You'll see boys
You'll see boys
A state of the art, digital, virtual interactive studio
I'll forego your rent and on paper guarantee
That you can stay here for free
If you do me one small favor","BOTH
I quit",2
197,"JOANNE
Unless you take it back","BOTH
Women","MAUREEN
What is it about them?","BOTH
Can't live
With them 
Or without them!
Take me for what I am
Who I was meant to be
And if you give a damn
Take me baby or leave me
Take me baby
Or leave me
Guess I'm leavin'
I'm gone","ANGEL
Darling... we're everything!
Live in my house
I'll be your shelter
Just pay me back
With one thousand kisses
Be my lover I'll cover you",(They both sit),2
198,SEASONS OF LOVE B ,"COMPANY
In diapers report cards
In spoke wheels in speeding tickets
In contracts dollars
In funerals in births
In five hundred twenty-five thousand six hundred minutes
How do you figure
A last year on earth?
Figure in love
Figure in love
Figure in love
Measure in love
Seasons of love
Seasons of love",WITHOUT YOU (Mimi's Apartment) ,"(Three beds appear downstage. One, a hospital bed, is occupied by
ANGEL. ROGER sits on another, JOANNE on the third. MIMI
approaches ROGER, and then appears to be in a hurry)","MIMI
Slap","ROGER
Where were you?",2
199,"MIMI
I'm sorry I'm late.","ROGER (interrupting)
I know. You lost your keys. No, you went for a walk; you had to help your
mother. (As he picks up the guitar) And how's Benny? I'm gonna work
upstairs tonight","MIMI
Wait
I should tell you
I should 
Never mind","ROGER
Happy Spring",(ROGER crosses to the door),"(ROGER exits. MIMI pulls out a just-purchased stash and angrily flings it
across the room. As she sings the following, a stylized ""musical beds"" is
choreographed around her; during the bridge of the song, COLLINS
carries ANGEL from the hospital bed and ROGER takes his place. By the
end of the song, MAUREEN and JOANNE are reunited, as are ROGER
and MIMI. COLLINS and ANGEL have lain down together, where
ANGEL dies)",2
200,"MIMI
Without you
The ground thaws
The rain falls
The grass grows
Without you
The seeds root
The flowers bloom
The children play
The stars gleam
The poets dream
The eagles fly
Without you
The earth turns
The sun burns
But I die
Without you
Without you
The breeze warms
The girl smiles
The cloud moves
Without you
The tides change
The boys run
The oceans crash
The crowds roar
The days soar
The babies cry
Without you
The moon glows
The river flows
But I die
Without you","ROGER
The world revives","MIMI
Colors renew","BOTH
But I know blue
Only blue
Lonely blue
Within me, blue
Without you","ROGER
How do you write a song
When the chords sound wrong
Though they once sounded right and rare
When the notes are sour
Where is the power
You once had to ignite the air","MIMI
Without you
The hand gropes
The ear hears
The pulse beats",2
201,"ROGER
Without you
The eyes gaze
The legs walk
The lungs breathe","BOTH
The mind churns
The heart yearns
The tears dry
Without you
Life goes on
But I'm gone
Cause I die","ROGER
Without you","MIMI
Without you","ROGER
Without you","ROGER
Mark Cohen will preview his new documentary about his inability to hold an
erection on high holy days",1
202,"BOTH
Without you",VOICE MAIL #4 (The loft. The phone rings),"ROGER & MARK'S ANSWERING MACHINE
""Speak"" ... (""Beeeep!"")","ALEXI DARLING
Mark Cohen
Alexi Darling
Labor Day weekend
In East Hampton
On the beach
Just saw Alec Baldwin
Told him you say hi
Just kidding
We still need directors
You still need money
You know you need money
Pick up the phone
Don't be afraid of ker-ching ker-ching
Marky -- sell us your soul
Just kidding
We're waiting",CONTACT (Various fantasy bed locales) ,(Lights come up on loft),1
203,"(The COMPANY forms two main groups. As the music begins, a group of
dancers start a sensual life and death dance, while a group of actors
gather around a table centerstage to speak words of passion which
punctuate the dancing. Eventually, the actors converge on the table and
cover themselves with a white sheet, while moving to the music)","GROUP A (ROGER, MARK, JOANNE, BENNY)
Hot-hot-hot-sweat-sweet
Wet-wet-wet-red-heat
Hot-hot-hot-sweat-sweet
Wet-wet-wet-red-heat
Please don't stop please
Please don't stop stop
Stop stop stop don't
Please please please please
Hot-hot-hot-sweat-sweet
Wet-wet-wet-red-heat
Sticky-licky-trickle-tickle
Steamy-creamy-stroking-soaking","GROUP B (MIMI, COLLINS, MAUREEN, ANGEL)
Hot-hot-hot-sweat-sweet
Wet-wet-wet-red-heat","COLLINS
Touch","MAUREEN
Taste","MARK
Touche. Take your AZT
Close on Roger
His girlfriend April
Left a note saying ""We've got AIDS""
Before slitting her wrists in the bathroom
I'll check up on you later - Change your mind. You have to get out of the
house.",1
204,"MIMI
Deep","COLLINS
Dark","MAUREEN
Kiss","COLLINS
Beg","MIMI
Slap","ROGER
Zoom in on my empty wallet",1
205,"MIMI, MAUREEN & COLLINS
Fear","COLLINS
Thick","COLLINS, MIMI & MAUREEN
Red, red
Red, red
Red, red please","MAUREEN
Harder","ROGER
Muffy","ANGEL
Faster",2
206,"MAUREEN
Wetter","MIMI
Bastard","COLLINS
You whore","MAUREEN
You cannibal","MIMI'S VOICE
Safe","MIMI & ANGEL
More",2
207,"MAUREEN
You animal","MAUREEN, COLLINS & MIMI
Fluid no fluid no contact yes
No contact","ALL
Fire fire burn-burn yes
No latex rubber rubber
Fire latex rubber latex bummer
Lover bummer","(The music explodes into a fevered rhythmic heat as ANGEL is revealed
in a lone spotlight, dancing wildly)","ANGEL
Take me
Take me
Today for you
Tomorrow for me
Today me
Tomorrow you
Tomorrow you
Love you
Love you
I love
You I love
You!
Take me
Take me
I love you","(All three cross upstage and attempt to throw up the length of rope over
a plank. ROGER and MIMI are laughing and holding each other)",1
208,(The music dies as ANGEL vanishes),"ROGER'S VOICE
Um","JOANNE'S VOICE
Wait","MIMI'S VOICE
Slipped","ALL
What binds the fabric together
When the raging, shifting winds of change
Keep ripping away","COLLINS' VOICE
Shit",2
209,"JOANNE'S VOICE
Ow","ROGER'S VOICE
Where'd it go?","MIMI'S VOICE
Safe","COLLINS' VOICE
Damn","MAUREEN'S VOICE
I think I missed
Don't get pissed","COLLINS
Open your door
I'll be your tenant
Don't got much baggage
To lay at your feet
But sweet kisses I've got to spare
I'll be there- I'll cover you",1
210,"ALL
It was bad for me - was it bad for you?","JOANNE
It's over","MAUREEN
It's over","ROGER
It's over","BENNY
She's got a new man?","MIMI
It's over",2
211,"COLLINS
It's over",I'LL COVER YOU (REPRISE) (In a church - Angel's memorial) ,"MIMI
Angel was one of my closest friends. It's right that it's Halloween, because it
was her favorite holiday. I knew we'd hit it off from the moment we met. That
skin head was bothering her, and she said she was more of a man than he'd
ever be, and more of a woman than he'd ever get","MARK
and then there was that time that he walked up to this group of tourists
and, they were petrified, because, a) they were obviously lost, and b) they had
probably never spoken to a drag queen before in their lives...and he...she just
offered to escort them out of Alphabet City, and then she let them take a
picture with her, and then she said she'd help 'em find the Circle Line","MAUREEN
so much more original then any of us...you'd find an old table cloth on the
street and make a dress...and next year, sure enough - they'd be mass
producing them at the Gap. You always said how lucky you were that we
were all friends. But it was us, baby, who were the lucky ones","JOANNE
You should try it in heels!
She cheated",1
212,"COLLINS
Live in my house
I'll be your shelter
Just pay me back
With one thousand kisses
Be my lover
And I'll cover you
Open your door I'll be your tenant
Don't got much baggage to lay at your feet
But sweet kisses I've got to spare
I'll be there I'll cover you
I think they meant it
When they said you can't buy love
Now I know you can rent it
A new lease you were, my love, on life
All my life
I've longed to discover
Something as true
As this is",(The following is sung simultaneously.),"JOANNE & SOLOIST
So with a thousand sweet kisses
I'll cover you with a thousand sweet kisses
I'll cover you with a thousand sweet kisses
I'll cover you with a thousand sweet kisses
I'll cover you","COLLINS
If you're cold and you're lonely
You've got one nickel only
When you're worn out and tired
When your heart has expired","COMPANY
Five hundred twenty-five thousand six hundred minutes
Five hundred twenty-five thousand six hundred moments so dear
Five hundred twenty-five thousand six hundred minutes
Five hundred twenty-five thousand six hundred measure a year
Oh lover I'll cover you
Oh lover I'll cover you","(COLLINS carries ANGEL's pickle tub, now filled with provisions)",1
213,"COLLINS & COMPANY
Oh lover
I'll cover you
Oh lover","COLLINS
I'll cover you","COMPANY
Five hundred twenty-five thousand six hundred minutes
Five hundred twenty-five thousand seasons of love","COLLINS
I'll cover you",HALLOWEEN (Outside the church) ,"MARK
December 24th, ten p.m. Eastern standard time
I can't believe a year went by so fast
Time to see what we have time to see
Turn the projector on",1
214,"MARK
(On the pay phone)
Hi. It's Mark Cohen. Is Alexi there?...No, don't bother her. Just tell her I'm
running a little late for our appointment...Yes, I'm still coming... Yes, I signed
the contract... Thanks
How did we get here?
How the hell
Pan left - close on the steeple of the church
How did I get here?
How the hell...
Christmas
Christmas Eve last year
How could a night so frozen be so scalding hot?
How can a morning this mild be so raw?
Why are entire years strewn
On the cutting room floor of memory
When single frames from one magic night
Forever flicker in close-up
On the 3D Imax of my mind
That's poetic
That's pathetic
Why did Mimi knock on Roger's door
And Collins choose that phone booth
Back where Angel set up his drums
Why did Maureen's equipment break down
Why am I the witness
And when I capture it on film
Will it mean that it's the end
And I'm alone",GOODBYE LOVE ,(The PRINCIPALS emerge from the church),"MIMI (to ROGER)
It's true you sold your guitar and bought a car?","ROGER
It's true- I'm leaving now for Santa Fe
It's true you're with this yuppie scum?","MARK
Maureen?",1
215,"BENNY
You said you'd never speak to him again","MIMI
Not now","MAUREEN
Who said that you have any say
In who she says things to at all?","ROGER
Yeah","MIMI
You're staring again","JOANNE
Who said that you should
Stick your nose in other people's",2
216,"MAUREEN
Who said I was talking to you?","JOANNE
We used to have this fight each night","MARK
Calm down","JOANNE
She'd never admit I existed","MARK
Everyone please!","ANGEL
Fifteen",1
217,"MIMI
He was the same way he was always
""Run away hit the road
Don't commit"" you're full of shit","JOANNE
She's in denial","MIMI
He's in denial","JOANNE
Didn't give an inch
When I gave a mile","COLLINS
That's no way to send a boy to meet his maker
They had to know we couldn't pay the undertaker","MARK
Come on",2
218,"MIMI
I gave a mile","ROGER
Gave a mile to who?","MARK & BENNY
Come on guys chill","MIMI & JOANNE
I'd be happy to die for a taste of what Angel had
Someone to live for unafraid to say I love you","MARK
Friendship is thicker than blood","ROGER
All your words are nice Mimi
But love's not a three way street
You'll never share real love
Until you love yourself I should know",2
219,"COLLINS
You all said you'd be cool today
So please for my sake
I can't believe he's gone
(to ROGER) I can't believe you're going 
I can't believe this family must die
Angel helped us believe in love
I can't believe you disagree","ALL
I can't believe this is goodbye",(MAUREEN and JOANNE look at each other),"MAUREEN
Pookie","ROGER
It's over","JOANNE
Honeybear",2
220,(They embrace),"JOANNE
I missed you","MAUREEN
I missed your smell","JOANNE
I missed your mouth...Your","ROGER
""The narration crackles and pops with incendiary wit""","(They kiss, but MAUREEN pulls away)",2
221,"MAUREEN
Ow","JOANNE
What?","MAUREEN
Nothing, Pookie","JOANNE
No, baby, you said ow...What?","MAUREEN
Well, you bit my tongue","MARK & ROGER
And feel the heat of the future's glow",1
222,"JOANNE
No, I didn't","MAUREEN
You did I'm bleeding","JOANNE
No, it isn't","MAUREEN
I think I should know","MIMI
If you close your eyes","JOANNE
Let me see",2
223,"MAUREEN
She doesn't believe me!","JOANNE
I was only trying to","(They laugh, hug, and wave goodbye, exiting stage right. The PASTOR
from the church emerges on the above)","PASTOR
Thomas B. Collins","COLLINS
Coming","MARK
Back at N.Y.U.?",1
224,"(The PASTOR exits above and COLLINS exits into the church. BENNY
stands off to the side as MIMI approaches ROGER, who turns away. She
hesitates before leaving with BENNY. ROGER and MARK are left alone)","MARK
I hear there are great restaurants out west","ROGER
Some of the best. How could she?","MARK
How could you let her go?","MARK
Must be nice to have money","ROGER
You just don't know How could we lose Angel?",2
225,"MARK
Maybe you'll see why when you stop escaping your pain
At least now if you try- Angel's death won't be in vain","ROGER
His death is in vain","(MIMI reappears up left, in the shadows. She overhears ROGER and
MARK's conversation)","MARK
Are you insane?
There so much to care about
There's me- there's Mimi","MARK
You're not mad?","ROGER
Mimi's got her baggage, too",2
226,"MARK
So do you","ROGER
Who are you to tell me what I know, what to do","MARK
A friend","ROGER
But who, Mark, are you?
""Mark has got his work""
They say ""Mark lives for his work""
And ""Mark's in love with his work""
Mark hides in his work","MIMI
That's what he said","MARK
But from what?",2
227,"ROGER
From facing your failure, facing your loneliness
Facing the fact you live a lie
Yes, you live a lie tell you why
You're always preaching not to be numb
When that's how you thrive
You pretend to create and observe
When you really detach from feeling alive","MARK
Perhaps it's because I'm the one of us to survive","ROGER
Poor baby","MARK
Mimi still loves Roger
Is Roger really jealous
Or afraid that Mimi's weak","ALL
We'll pack up all our junk and fly so far away
Devote ourselves to projects that sell
We'll open up a restaurant in Santa Fe
Forget this cold Bohemian hell
Oh
Oh","ROGER
Mimi did look pale",2
228,"MARK
Mimi's gotten thin
Mimi's running out of time
Roger's running out the door","ROGER
No more! Oh no
I've gotta go","MARK
Hey, for somebody who's always been let down
Who's heading out of town?","ROGER
For someone who longs for a community of his own,
Who's with his camera, alone?","(ROGER takes a step to go, then stops, turns)","MARK
Fade in on Mark
Who's still in the dark",1
229,"I'll call
I hate the fall",(ROGER turns to go and sees MIMI),You heard?,"MIMI
Every word
You don't want baggage without lifetime guarantees
You don't want to watch me die
I just came to say
Goodbye, love
Goodbye, love
Came to say goodbye, love, goodbye
Just came to say
Goodbye love
Goodbye love
Goodbye love
Goodbye","ROGER
Glory
One blaze of
Glory
Have to find",(ROGER puts on his jacket and exits the loft),1
230,(ROGER exits. BENNY returns. MIMI steps away),"MIMI
Please don't touch me
Understand
I'm scared
I need to go away","MARK
I know a place a clinic","BENNY
A rehab?","MIMI
Maybe could you?","That doesn't remind us of ""Musetta's Waltz""",1
231,"BENNY
I'll pay","MIMI
Goodbye love
Goodbye love
Came to say goodbye, love, goodbye
Just came to say
Goodbye love
Goodbye love
Goodbye love
Hello disease","(MIMI runs away. After a moment, COLLINS quickly enters, with the
PASTOR trailing behind him)","PASTOR
Off the premises now, we give no handouts here","ALL
No day but today
No day but today
No day but today
No day but today
No day but today","MARK
What happened to Rest In Peace?",2
232,"PASTOR
Off the premises, queer","COLLINS
That's no way to send a boy to meet his maker
They had to know we couldn't pay the undertaker","BENNY
(To COLLINS) Don't you worry 'bout him 
(To PASTOR) Hey, I'll take care of it",(The PASTOR acknowledges BENNY and exits),"MIMI
Excuse me did I do something wrong?
I get invited then ignored all night long","MARK
Must be nice to have money",2
233,"ALL THREE
No shit","COLLINS
I think it's only fair to tell you, you just paid for the funeral of the person who
killed your dog","BENNY
I know... I always hated that dog
Let's pay him off, and then get drunk","MARK
I can't... I have a meeting","ALL
Seasons of love 
Seasons of love","BENNY & COLLINS
Punk! Let's go",2
234,(COLLINS and BENNY exit),"MARK (imagining)
Hi. Mark Cohen here, reporting for Buzzline. Back to you, Alexi! Coming up
next, vampire welfare queens who are compulsive bowlers... Oh my God,
what am I doing? ",WHAT YOU OWN ,"MARK
Don't breathe too deep
Don't think all day
Dive into work
Drive the other way
That drip of hurt
That pint of shame
Goes away
Just play the game
You're living in America
At the end of the millennium
You're living in America
Leave your conscience at the tone
And when you're living in America
At the end of the millennium
You're what you own",(Lights up on ROGER),"COLLINS
How do you stay on your feet
When on every street
It's 'trick or treat'
(And tonight it's 'trick')
'Welcome back to town'
Oh, I should lie down
Everything's brown
And uh -- oh
I feel sick",1
235,"ROGER
The filmmaker cannot see","MARK
And the songwriter cannot hear","ROGER
Yet I see Mimi everywhere","MARK
Angel's voice is in my ear","ROGER
Just tighten those shoulders","MIMI
Two minutes left to execute our plan",1
236,"MARK
Just clench your jaw till you frown","ROGER
Just don't let go","BOTH
Or you may drown
You're living in America
At the end of the millennium
You're living in America
Where it's like the Twilight Zone
And when you're living in America
At the end of the millennium
You're what you own
So I own not a notion
I escape and ape content
I don't own emotion - I rent","MARK
What was it about that night","ROGER
What was it about that night","BOTH
Who knows where
Who goes there
Who knows
Here goes
Trusting desire starting to learn
Walking through fire without a burn
Clinging a shoulder, a leap begins
Stinging and older, asleep on pins
So here we go
Now we",1
237,"BOTH
Connection- in an isolating age","MARK
For once the shadows gave way to light","ROGER
For once the shadows gave way to light","BOTH
For once I didn't disengage","(ANGEL sashays in. He's gorgeously done up in Santa drag, with a fan of
twenty-dollar bills in each hand)",(MARK goes to the pay phone and dials),2
238,"MARK
Angel I hear you I hear it
I see it I see it
My film!","ROGER
Mimi I see you I see it
I hear it- I hear it
My song","MARK (on the phone)
Alexi--Mark
Call me a hypocrite
I need to finish my own film
I quit","ROGER
One song glory
Mimi
Your eyes","BOTH
Dying in America
At the end of the millennium
We're dying in America
To come into our own
And when you're dying in America
At the end of the millennium
You're not alone
I'm not alone
I'm not alone","COLLINS
I may be detained",1
239,(Blackout),VOICE MAIL #5 (Various locations),"(In blackout, once again the phone rings)","ROGER & MARK'S ANSWERING MACHINE
""Speak..."" (Beep)","ROGER'S MOTHER
Roger, this is your mother
Roger, honey, I don't get these postcards
""Moving to Santa Fe""
""Back in New York
Starting a rock band""
Roger, where are you? --Please call ","MIMI
Got a light - I know you - you're shivering",1
240,(The following is sung simultaneously),"MIMI'S MOTHER
Mimi, chica, donde estas?
Tu mama esta llamando
Donde estas Mimi - - Call","MR. JEFFERSON
Kitten wherever are you - Call","MRS. COHEN
Mark - are you there - are you there
I don't know if he's there
We're all here wishing you were here too
Where are you Mark are you there are you where are you
Mark - are you there - are you there
I don't know if - Please call your mother","BENNY
A rehab?",FINALE (The lot and the loft) ,2
241,"ALL SEVEN HOMELESS
Christmas bells are ringing
Christmas bells are ringing
Christmas bells are ringing
How time flies
When compassion dies
No stockings
No candy canes
No gingerbread
No safety net
No loose change
No change no","ONE HOMELESS MAN
""Santy Claus is coming""","ALL
Cause Santy Claus ain't coming
No room at the Holiday Inn again
Well, maybe next year 
Or -- when","(Lights shift back to the loft. A small prjector rests on a milk crate,
which is on a dolly)","COLLINS
Gentlemen, our benefactor on this Christmas Eve
Whose charity is only matched by talent, I believe
A new member of the Alphabet City avant-garde
Angel Dumott Schunard!","MARK
December 24th, ten p.m. Eastern standard time
I can't believe a year went by so fast
Time to see what we have time to see
Turn the projector on",2
242,"(A rough title credit, ""Today 4 U: Proof Positive,"" appears, followed by
a shot from last Christmas of ROGER tuning his guitar)","First shot Roger
With the fender guitar he just got out of hock
When he sold the car
That took him away and back","ROGER
I found my song","MARK
He found his song
If he could just find Mimi","ROGER
I tried - you know I tried","BENNY
Maureen is protesting
Losing her performance space
Not my attitude",1
243,(MARK's image appears on-screen),"MARK
Fade in on Mark
Who's still in the dark","ROGER
But he's got great footage","MARK
Which he's cut together","JOANNE
It's different with me","ROGER
To screen tonight",2
244,(BENNY's image appears on screen),"MARK
In honor of Benny's wife","ROGER
Muffy","MARK
Alison
Pulling Benny out of the East Village location","(Three locales: JOANNE at the pay phone, MARK and ROGER in their
loft, and COLLINS on the ground. The following is sung simultaneously)",(The projector blows a fuse. Blackout),2
245,"ROGER
Then again, maybe we won't screen it tonight","MARK
I wonder how Alison found out about Mimi?","ROGER
Maybe a little bird told her","(COLLINS enters in the dark, with several twenty-dollar bills in each
hand)","COLLINS
Or an angel","MIMI
I'm giving up my vices
I'm going back - back to school
Eviction or not
This week's been so hot
That long as I've got you
I know I'll be cool
I couldn't crack the love code, dear
'Til you made the lock on my heart explode
It's gonna be a happy new year
A happy new year",1
246,(Lights fade up),I had a little hunch that you could use a little flow,"ROGER
Tutoring again?","COLLINS
Negative","JOANNE
Me too","MARK
Back at N.Y.U.?",2
247,"COLLINS
No, no, no
I rewired the ATM at the food emporium
To provide an honorarium to anyone with the code","ROGER & MARK
The code 
Well...?","COLLINS
A-N-G-E-L
Yet Robin Hooding isn't the solution
The powers that be must be undermined where they dwell
In a small, exclusive gourmet institution
Where we overcharge the wealthy clientele","ALL THREE
Let's open up a restaurant in Santa Fe
With a private corner banquette in the back","MARK
There is no future there is no past","COLLINS
We'll make it yet, we'll somehow get to Santa Fe",2
248,"ROGER
But you'd miss New York before you could unpack","ALL
Ohh","(MAUREEN and JOANNE enter, carrying MIMI)","MAUREEN
Mark! Roger! Anyone - help!","MARK
Wait, wait, wait you said she was sweet","MARK
Maureen?",2
249,"MAUREEN
It's Mimi - I can't get her up the stairs","ROGER
No",(They enter the loft),"MAUREEN
She was huddled in the park in the dark
And she was freezing
And begged to come here","ROGER
I should tell you
I should tell you","ROGER
Over here
Oh, God ",2
250,(They lay her down carefully on the table),"MIMI
Got a light - I know you - you're shivering","JOANNE
She's been living on the street","ROGER
We need some heat","MARK
What?","MIMI
I'm shivering",2
251,"MARK
We can buy some wood and something to eat","COLLINS
I'm afraid she needs more than heat","MIMI
I heard that","MAUREEN
Collins will call for a doctor, honey","MIMI
Don't waste your money on Mimi, me, me","MARK
What rent?",1
252,"COLLINS
Hello 911?
I'm on hold","MIMI
Cold...cold... would you light my candle?","ROGER
Yes we'll oh God - find a candle","MIMI
I should tell you
I should tell you","ANGEL
Center of the universe","ROGER
I should tell you
I should tell you",2
253,"MIMI
I should tell you
Benny wasn't any","ROGER
Shhh--I know
I should tell you why I left
It wasn't cause I didn't ","MIMI
I know
I should tell you","ROGER
I should tell you","MIMI (whispering)
I should tell you
I love you","ROGER
No",1
254,(MIMI fades),"ROGER
Who do you think you are?
Leaving me alone with my guitar
Hold on there's something you should hear
It isn't much but it took all year",(MIMI stirs and ROGER begins playing acoustic guitar at her bedside),YOUR EYES ,"ROGER
Your eyes
As we said our goodbyes
Can't get them out of my mind
And I find I can't hide
From your eyes
The ones that took me by surprise
The night you came into my life
Where there's moonlight I see your eyes","JOANNE
They don't know what they're doing
The cops are sweeping the lot
But no one's leaving
They're just sitting there, mooing!",1
255,(Band takes over),"How'd I let you slip away
When I'm longing so to hold you
Now I'd die for one more day
'Cause there's something I should have told you
Yes there's something I should have told you
When I looked into your eyes
Why does distance make us wise?
You were the song all along
And before this song dies
I should tell you I should tell you
I have always loved you
You can see it in my eyes","(We hear Musetta's Theme, played correctly and passionately. MIMI's
head falls to the side and her arm drops limply off the edge of the table)",Mimi!,FINALE B ,(MARK and ROGER stoke the fire. Crosscut to BENNY's Range Rover),1
256,"(Suddenly, MIMI's hand twitches. Incredibly, she is still alive)","MIMI
I jumped over the moon","ROGER
What?","MIMI
A leap of moooooooooooo","ANGEL
Fifteen","JOANNE
She's back",2
257,"MIMI
I was in a tunnel. Heading for this warm, white light","MAUREEN
Oh my god","MIMI
And I swear Angel was there and she looked GOOD! And she said, ""Turn
around, girlfriend, and listen to that boy's song""","COLLINS
She's drenched","BENNY
I couldn't stop thinking about the whole mess
Mark you want to get this on film","MAUREEN
Her fever's breaking",2
258,"MARK
There is no future there is no past","ROGER
Thank God this moment's not the last","MIMI & ROGER
There's only us
There's only this
Forget regret or life is yours to miss","ALL
No other road no other way
No day but today","(As the finale grows, the entire COMPANY makes its way on stage)","MAUREEN
You animal",1
259,"WOMEN
I can't control
My destiny
I trust my soul
My only goal is just to be","MEN
Will I lose my dignity?
Will someone care?
Will I wake tomorrow
From this nightmare?","(MARK's film resumes, along with two more films projecting on the back
wall, ""Scenes from RENT..."")","WOMEN
Without you
The hand gropes
The ear hears
The pulse beats
Life goes on
But I'm gone
'Cause I die
Without you
I die without you
I die without you
I die without you","MEN
There's only now
There's only here
Give in to love
Or live in fear
No other path
No other way
No day but today
No day but today
No day but today
No day but today","JOANNE
I'm defeated
I should give up right now",1
99,POZZO:I've already told you?,ESTRAGON:He's already told us?,VLADIMIR:Anyway he has put them down.,ESTRAGON:(glance at Lucky). So he has. And what of it?,VLADIMIR:I've been better entertained.Silence. Pozzo struggles inwardly.,VLADIMIR:Since he has put down his bags it is impossible we should have asked why hedoes not do so.POZZO:Stoutly reasoned!,2
100,POZZO:Answer us that.,VLADIMIR:In order to dance.,ESTRAGON:True!,POZZO:True!Silence. They put on their hats.,"ESTRAGON:Nothing happens, nobody comes, nobody goes, it's awful!",ESTRAGON:What?,1
101,POZZO:Give him his hat.,VLADIMIR:His hat?,POZZO:He can't think without his hat.,VLADIMIR:(to Estragon). Give him his hat.,ESTRAGON:Me! After what he did to me! Never!,ESTRAGON:I dreamt that—,1
102,ESTRAGON:(to Pozzo). Tell him to go and fetch it.,POZZO:It's better to give it to him.,"VLADIMIR:I'll give it to him.He picks up the hat and tenders it at arm's length to Lucky, who does not move.",POZZO:You must put it on his head.,ESTRAGON:(to Pozzo). Tell him to take it.,ESTRAGON:His friends.,1
103,"VLADIMIR:I'll put it on his head.He goes round behind Lucky, approaches him cautiously, puts the hat on his headand recoils smartly. Lucky does not move. Silence.",ESTRAGON:What's he waiting for?,"POZZO:Stand back! (Vladimir and Estragon move away from Lucky. Pozzo jerks the rope.Lucky looks at Pozzo.) Think, pig! (Pause. Lucky begins to dance.) Stop! (Luckystops.) Forward! (Lucky advances.) Stop! (Lucky stops.) Think!Silence.",LUCKY:On the other hand with regard to—,VLADIMIR:I don't understand.,"POZZO:Stop! (Lucky stops.) Back! (Lucky moves back.) Stop! (Lucky stops.) Turn! (Luckyturns towards auditorium.) Think!During Lucky's tirade the others react as follows.1) Vladimir and Estragon all attention, Pozzo dejected and disgusted.2) Vladimir and Estragon begin to protest, Pozzo's sufferings increase.3) Vladimir and Estragon attentive again, Pozzo more and more agitated andgroaning.4) Vladimir and Estragon protest violently. Pozzo jumps up, pulls on the rope.General outcry. Lucky pulls on the rope, staggers, shouts his text. All three throwthemselves on Lucky who struggles and shouts his text.",2
104,POZZO:His hat!Vladimir seizes Lucky's hat. Silence of Lucky. He falls. Silence. Panting of thevictors.,"ESTRAGON:Avenged!Vladimir examines the hat, peers inside it.","POZZO:Give me that! (He snatches the hat from Vladimir, throws it on the ground,tramples on it.) There's an end to his thinking!",VLADIMIR:But will he be able to walk?,POZZO:The road is free to all.,POZZO:Walk or crawl! (He kicks Lucky.) Up pig!,2
